IDParticles,Sample,Site_name,GPS_LON,GPS_LAT,Compartment,Contributor,Project,Particle_name,Size_1_[µm],Size_2_[µm],Size_3_[µm],Shape,Colour,Preferred_method,polymer_type,library_entry,Comment,lab_blank_ID,sample_ID,Sampling_weight_[kg],Fraction_analysed,size_geom_mean
26573_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,457.0,29.0,68.8834,fibre,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,115.12167476196652
26574_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,168.0,12.0,38.0246,fibre,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,44.8998886412873
26576_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,531.0,44.0,31.3016,fibre,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,152.85287043428397
26577_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,87.0,25.0,14.0916,irregular,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,46.636895265444075
26578_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,95.0,41.0,18.3487,irregular,unspecific,5,Poly (ethylene terephthalate),Poly(ethylene terephtalate),,1391.0,1213,0.093,1.0,62.4099351065197
26580_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,112.0,44.0,23.9396,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,70.19971509913698
26581_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,150.0,61.0,23.1312,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,95.65563234854496
26582_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,120.0,50.0,0.0,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,77.45966692414834
26583_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,458.0,153.0,30.6852,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,264.7149410214694
26584_0,Schlei_S23,Schlei,9.78108,54.5722,sediment,27,BONUS MICROPOLL,,67.0,40.0,0.0,irregular,unspecific,5,Polyethylene,Polyethylene,,1391.0,1213,0.093,1.0,51.76871642217914
