OBJECTID,Probennumm,Datum,Zeit,x,y,Textural_Group (Folk 1954),Special_Type (Macroscopic description),LOI_550 [%],Corg [%]
145,20170426_G70,26/04/2017,09:19,565672.555099999,6059165.64199999,Sand,,1.164699269,0.5015
146,20170426_G71,26/04/2017,09:24,565717.686499999,6059151.82899999,Sand,,1.326058429,0.1375
147,20170426_G72,26/04/2017,09:30,565773.0662,6059172.48099999,Muddy Sand,,5.654420207,2.9485
148,20170426_G73,26/04/2017,09:36,566146.685399999,6059070.52799999,Sand,,1.841520612,1.789
149,20170426_G74,26/04/2017,09:43,566225.9035,6058997.30599999,Sand,,1.26096252,0.055
150,20170426_G75,26/04/2017,09:52,566436.0274,6058874.625,,Kies,,
151,20170426_G76,26/04/2017,09:57,566559.9849,6058866.42899999,Sand,Mytilus,2.551614038,0.2795
152,20170426_G77,26/04/2017,10:05,566540.5087,6058794.546,,Steine,,
153,20170426_G78,26/04/2017,10:11,566975.8355,6058630.50299999,,Steine,,
154,20170427_G79,27/04/2017,08:17,562978.9756,6059236.80999999,Muddy Sand,,5.650819529,1.563
155,20170427_G80,27/04/2017,08:23,563432.7576,6059069.718,Muddy Sand,,2.063294673,0.7495
156,20170427_G81,27/04/2017,08:28,563956.1519,6058786.42999999,Muddy Sand,,3.864168618,1.689
157,20170427_G82,27/04/2017,08:33,563985.132899999,6059253.514,Sand,,0.808018623,0.192
158,20170427_G83,27/04/2017,08:37,563934.5182,6059579.991,Muddy Sand,,3.478233298,1.6255
159,20170427_G84,27/04/2017,08:42,563836.506999999,6059579.34999999,Muddy Sand,,4.525593009,1.7945
160,20170427_G85,27/04/2017,08:47,563457.973099999,6059579.036,,Seegras,,
161,20170427_G86,27/04/2017,08:52,563413.506199999,6059952.90199999,Muddy Sand,,2.407373077,1.001
162,20170427_G87,27/04/2017,09:00,563490.090399999,6060078.434,Sandy Mud,,18.3950016199999,7.803
163,20170427_G88,27/04/2017,09:05,563522.508999999,6060616.97499999,Sandy Mud,,8.845855926,3.6755
164,20170427_G89,27/04/2017,09:11,563676.1075,6060735.802,Muddy Sand,,6.266486063,2.6165
165,20170427_G90,27/04/2017,09:19,563693.5444,6060771.84599999,Sandy Mud,,8.303946669,4.095
166,20170427_G91,27/04/2017,09:23,563725.226299999,6060467.728,Sandy Mud,,9.289531594,4.0385
167,20170427_G92,27/04/2017,09:32,562862.4006,6059682.387,Sandy Mud,,11.5792641599999,4.9385
