TweedieRegressor;3;1;4;1104;[ 1  2 13 14 22];['S02' 'S03' 'S17' 'S19' 'S27'];0.476834056015221;-0.794051806696938;-566.906174338965;-0.805270766512586;0.84634829545815;-0.641426876227452;-729.619061279585;-0.439987376457068;78;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'SED_D50'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;3;2;3;1035;[ 4  5  6  7 21];['S06' 'S07' 'S08' 'S10' 'S26'];0.531589856939799;-1.11963940423824;-471.168610655221;-0.199804156521228;0.752111864010924;-1.0481460636875;-881.002990583032;-0.518104152627561;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;3;3;2;359;[ 9 11 19 20 25];['S13' 'S15' 'S24' 'S25' 'S31'];0.815707407599671;-1.37773998174183;-774.801655452902;-0.653895838289581;0.813277707069757;-0.814547800261712;-951.244463317067;-0.492234058179921;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;3;4;1;142;[ 0  3  8 10 24];['S01' 'S04' 'S11' 'S14' 'S30'];0.911202212778431;-1.98292130054868;-1297.25048446472;-0.282283437858779;0.761041663950709;-1.45479215714801;-900.734082326199;-0.67144366805743;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;4;0;2;440;[ 0  3 10 16 22 24];['S01' 'S04' 'S14' 'S21' 'S27' 'S30'];0.778622476446202;-1.71518726867692;-796.68750412464;-0.300364511150278;0.910503953195386;-0.760175415670907;-1142.34605588918;-0.628549998054271;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;4;1;4;909;[ 2  4  6 11 12];['S03' 'S06' 'S08' 'S15' 'S16'];0.603997352470041;-0.508840533493802;-564.854237600783;-0.459703422960684;0.596230272024635;-1.18868699626738;-797.059673491102;-0.494918936806681;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;4;2;5;1818;[15 17 19 20 25];['S20' 'S22' 'S24' 'S25' 'S31'];-0.747362230957879;-1.46439557776089;-866.357713848596;-0.63005915185998;0.903132878208544;-0.404328080962382;-1139.69539796708;-0.314637953908505;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;4;3;1;378;[ 7  9 13 18 21];['S10' 'S13' 'S17' 'S23' 'S26'];0.80591186703132;-0.884339380390904;-314.026926682398;-0.261877942866762;0.818444767640478;-1.06272711218618;-886.735713085131;-0.431984488939323;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;4;4;3;474;[ 1  5  8 14 23];['S02' 'S07' 'S11' 'S19' 'S29'];0.763968812784787;-0.34605000872219;-855.455027561631;-0.241940388711445;0.865369851552536;-0.609073501290755;-486.925759677538;-0.307035600571503;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;5;0;5;1717;[ 2 10 11 19 20 22];['S03' 'S14' 'S15' 'S24' 'S25' 'S27'];-0.174493985332084;-2.75951059496411;-816.532370636456;-1.09855985683129;0.753018162306667;-0.47434341949115;-1378.41283687723;-0.428040202889832;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;5;1;3;810;[ 5 13 18 23 25];['S07' 'S17' 'S23' 'S29' 'S31'];0.645041479761054;-0.300641093898514;-244.332756276572;-0.196837482836878;0.865747192545228;-0.575616504965499;-953.667255098139;-0.421797781788124;42;['WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;5;2;2;526;[ 0  1 12 17 24];['S01' 'S02' 'S16' 'S22' 'S30'];0.747216202691147;-0.609586694037067;-993.311292770543;-0.438345283491224;0.801519763215933;-1.44617851623059;-639.656798559399;-0.442072764997174;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;5;3;1;133;[ 4  7  8  9 21];['S06' 'S10' 'S11' 'S13' 'S26'];0.913888606399681;-0.796395280075909;-518.485012241989;-0.227505490233431;0.692325141647871;-0.850168919246231;-927.174309198682;-0.491853313708031;79;['Depth', 'WWTP_influence_as_mean_time_travelled__nosed_0µm_allseasons_222_', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;5;4;4;922;[ 3  6 14 15 16];['S04' 'S08' 'S19' 'S20' 'S21'];0.593619751676058;-0.438676666875237;-1134.45506534347;-0.47255956507492;0.591792754278077;-0.690214700408499;-1172.85521295336;-0.490233042183366;59;['Depth', 'WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD'];TweedieRegressor;1;log;2;;;;;;;;;;
TweedieRegressor;6;0;4;987;[ 0  5  6  7 14 23];['S01' 'S07' 'S08' 'S10' 'S19' 'S29'];0.558097556967095;-0.33980961753678;-963.096501234558;-0.30051154214664;0.707898187480469;-0.854990759327754;-735.903451902954;-0.481122404743467;113;['WWTP_influence_as_mean_time_travelled__sed_18µm_allseasons_444', 'perc_MUD', 'PC2'];TweedieRegressor;1;log;2;;;;;;;;;;
